Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
5.9,5.88,0.76,1.336,K3III,14.746887,0
8.32,2.59,1.2,1.482,K3V,15.386498,1
8.85,1.72,1.01,0.731,G6III:+...,15.027643,0
9.78,3.06,1.35,0.552,F6V,17.208607,1
5.97,11.97,0.78,0.523,F6IV-V,16.36047,1
8.02,22.46,1.12,0.626,G0V,19.77705,1
6.69,1.54,0.89,1.634,K5III,12.627604,0
7.52,0.39,0.9,1.529,K2III,10.475323,0
6.95,5.66,0.94,1.574,M2III,15.714082,0
7.23,5.86,1.19,1.022,G8III,16.069489,0
7.32,16.95,0.78,0.417,F0V,18.465849,1
7.59,13.98,1.11,0.449,F4Vvar,18.317537,1
9.13,2.28,0.96,1.507,K1/K2III:,15.919674,0
8.71,5.11,1.22,0.458,F3IV/V,17.252106,1
7.88,1.0,1.01,1.43,K3III,12.88,0
10.06,6.34,1.81,0.781,G8V,19.070446,1
4.74,46.75,3.38,0.437,F5V,18.08891,1
4.42,7.03,0.62,1.137,K0II/III,13.654777,0
8.97,12.58,1.55,0.645,G0/G1V,19.468403,1
8.4,2.59,1.11,1.14,K1III,15.466498,0
7.15,23.3,0.86,0.712,G6IV,18.986778,1
6.85,2.27,0.72,1.613,M0III,13.630129,0
6.7,9.8,0.77,1.038,K0/K1III,16.65613,0
8.55,11.04,2.04,0.2,G3V,18.764847,1
9.35,4.82,2.06,0.6,F5/F6V,17.765236,1
9.2,2.22,0.92,1.031,G8III/IV,15.931765,1
6.95,5.37,1.13,1.418,M4III,15.599872,0
8.69,1.48,2.25,1.019,G8III,14.541308,0
10.15,4.94,2.04,0.615,F5V,18.618635,1
7.58,1.58,1.07,1.657,M1/M2III,13.573285,0
6.7,3.79,0.96,0.147,B9III/IV,14.593196,1
7.16,17.67,0.53,0.545,F7V,18.396183,1
6.64,6.49,0.65,0.422,F4II,15.701223,0
6.79,13.13,1.01,0.962,K0/K1III,17.381325,0
7.59,25.15,0.97,0.626,G2V,19.59269,1
8.94,8.24,0.82,0.743,G5III/IV,18.519634,1
9.56,5.07,1.34,1.035,G8V,18.085041,1
6.71,11.81,0.99,0.13,A2IV/V,17.07125,1
6.1,0.28,0.86,0.352,B2Ib,8.335791,0
8.5,7.05,0.91,0.277,A9IV/Vm...,17.740946,1
5.93,9.82,0.71,1.183,K2III:,15.890556,0
8.4,2.33,1.83,0.249,A1V,15.236779,1
7.93,7.33,0.75,0.378,F2V,17.25552,1
8.4,4.01,0.72,1.249,K2IIICN...,16.415722,0
9.0,-0.49,1.23,1.367,K3III,12.45098,0
8.42,6.91,1.31,0.415,F3IV,17.61739,1
8.93,2.26,0.93,0.29,B8V,15.700542,1
5.78,2.85,0.51,-0.218,B2IV-V,13.054224,1
9.78,6.08,1.49,0.67,G2/G3V,18.699516,1
8.1,2.31,0.84,1.033,K1IIICNpvar,14.91806,0
8.14,1.15,0.94,0.02,B1.5III-IVn,13.443489,1
8.59,0.92,0.82,1.593,K4/K5III,13.408939,0
7.3,2.68,0.9,1.216,K1/K2III,14.440674,0
8.53,12.46,0.76,0.765,G3/G5IV/V,19.007591,1
7.36,4.78,0.62,-0.037,B8/B9V,15.757139,1
7.96,3.37,1.13,-0.01,B5III,15.598149,0
7.08,20.46,0.83,0.498,F6V,18.634527,1
8.18,8.05,1.33,0.369,A6III,17.70898,0
7.68,3.33,1.11,1.638,K4III,15.292221,0
8.18,3.41,1.13,1.565,K3III,15.843773,0
8.79,3.5,0.75,0.377,F0IV,16.510342,1
7.61,6.84,0.83,0.101,A2V,16.78528,1
8.35,7.33,1.34,0.545,F3/F5V,17.67552,1
5.97,64.25,1.19,0.639,G4V,20.009365,1
6.57,10.1,0.81,0.964,G8IV,16.591606,1
5.65,15.32,0.52,0.122,A4V,16.576294,1
8.33,4.28,0.68,0.076,A0V,16.487219,1
9.29,14.49,1.48,0.582,G2V,20.09534,1
7.5,6.02,0.94,0.151,A3V+...,16.397984,1
8.36,2.84,0.68,-0.025,B8V,15.626592,1
8.17,13.68,0.8,0.601,F8/G0V,18.85043,1
6.16,9.55,0.89,0.36,F2IV,16.060017,1
8.03,2.66,0.65,1.508,K4III,15.154408,0
8.73,2.32,1.27,1.875,K3III:,15.55744,0
9.11,10.78,0.96,0.611,G2V,19.273094,1
8.91,6.0,1.36,0.308,A0V,17.800756,1
9.33,30.82,0.94,1.119,K5V,21.774162,1
8.68,2.67,1.22,1.111,G8II/III,15.812557,0
8.88,1.91,1.11,1.14,K0/K1III,15.285168,0
6.86,3.76,0.64,1.376,K3III,14.735939,0
8.31,10.99,1.04,0.466,F3V,18.514988,1
8.79,8.43,1.12,0.597,F7V,18.419136,1
5.73,62.92,0.62,0.749,G6IV+...,19.723942,1
8.92,1.35,0.93,0.03,A0V,14.571669,1
6.13,0.95,0.48,-0.115,B3IV,11.018618,1
4.27,7.92,0.81,-0.182,B1.5V,13.763626,1
6.84,43.45,1.19,0.655,G2V,20.02995,1
10.27,9.49,1.85,0.542,F6/F7V,20.15633,1
8.92,5.82,1.44,0.382,F0/F2IV,17.744614,1
8.78,7.19,0.77,0.965,K0III/IV,18.063644,1
8.59,5.05,2.78,0.409,F0V,17.106457,1
8.95,1.63,1.1,-0.1,B5II/III,15.010939,0
5.57,12.02,0.68,-0.024,B9V,15.969522,1
5.59,4.55,0.43,-0.102,B8III,13.880057,0
8.59,4.18,1.26,1.075,K1III,16.69588,0
8.15,2.8,1.0,1.342,K3III,15.38579,0
7.81,2.07,0.9,1.114,K1/K2IIICNp,14.389852,0
8.11,5.99,0.82,0.503,F3IV,16.997133,1
9.45,9.08,2.13,0.669,G8V,19.240429,1
8.86,5.0,1.0,0.571,F7V,17.35485,1
6.02,6.31,0.72,1.315,K2III,15.020147,0
7.4,1.79,0.62,1.739,M1III,13.664265,0
7.59,5.59,0.64,0.946,G8/K0III,16.32706,0
8.93,0.54,1.57,1.191,K1III,12.591969,0
7.97,1.7,0.9,1.589,K5III,14.122244,0
7.85,7.0,0.71,0.149,A1/A2V,17.07549,1
8.1,4.07,0.92,1.03,K0III,16.147972,0
7.61,3.28,0.93,0.162,A0/A1V,15.189369,1
5.49,0.95,0.97,1.795,K3III,10.378618,0
9.41,3.3,1.02,0.143,A1/A2V,17.00257,1
7.9,4.34,0.88,0.046,A2V,16.087448,1
6.4,1.11,0.74,0.569,A1Ia,11.626616,0
7.62,1.09,0.84,0.113,B7/B8II,12.807133,0
8.43,2.3,0.8,1.222,K1III,15.23864,0
9.48,13.09,1.5,0.735,G6IV,20.064697,1
7.22,0.31,0.82,1.51,K3II,9.676808,0
7.63,4.66,0.7,0.087,A2V,15.9719305,1
8.53,14.48,1.0,0.742,G6V,19.333843,1
8.12,3.06,0.73,1.074,G8III,15.548607,0
8.4,7.55,1.48,0.559,F6V,17.789734,1
8.44,2.16,1.19,1.965,M1III,15.112268,0
4.08,37.85,0.69,0.163,A4V,16.97033,1
8.58,7.45,0.67,0.474,F5V,17.94078,1
7.5,3.91,1.28,0.934,G8III,15.460884,0
6.96,6.15,1.35,0.82,K1/K2III+..,15.904376,0
9.25,16.64,1.5,0.877,G8/K0V,20.355766,1
9.08,1.19,1.36,1.271,K1III,14.457735,0
8.58,1.11,1.12,1.541,K3III,13.806615,0
8.13,4.62,1.0,0.999,K0III,16.453209,0
7.88,2.91,0.7,0.88,G6III,15.199465,0
8.24,1.55,1.01,1.145,K2III+...,14.191658,0
8.03,12.18,1.21,0.45,F2V,18.458237,1
8.5,17.46,1.65,0.679,G3V,19.71022,1
9.37,3.39,1.22,1.06,K0III,17.021,0
8.67,-6.68,1.28,1.364,K3III,17.793882,0
8.78,2.42,1.15,0.307,A9III,15.699077,0
8.92,1.75,1.11,0.976,G8/K0III,15.135191,0
9.17,3.73,0.98,1.003,K0III,17.028545,0
9.25,10.0,2.37,0.765,G5V,19.25,1
9.86,28.23,1.66,1.137,K5V,22.113552,1
6.3,9.27,0.9,0.457,F5III,16.135399,0
8.73,4.71,1.14,0.168,A2V,17.095104,1
8.4,3.59,1.15,0.488,F5III,16.175472,0
7.57,4.91,0.63,1.138,K2III,16.025408,0
5.26,9.8,0.67,0.82,G5III,15.21613,0
9.59,1.86,1.58,0.133,B0.5III,15.937565,0
6.24,14.72,0.81,0.474,F5Vn,17.079538,1
8.53,20.29,1.27,0.658,G5V,20.06641,1
7.35,1.54,0.65,1.654,M2III,13.287603,0
7.68,10.77,1.0,0.508,F6V,17.841078,1
9.58,8.59,1.58,0.462,F6V,19.249966,1
8.55,10.09,1.26,0.689,G3V,18.569456,1
7.52,4.92,0.97,1.115,K0III,15.979826,0
9.39,-2.11,1.27,-0.036,B9II,16.011414,0
5.77,9.35,0.66,0.92,G8III,15.624058,0
9.63,6.56,1.52,0.53,F8V,18.71452,1
7.85,3.46,0.85,0.382,F0V,15.54538,1
11.31,19.13,2.95,1.25,K7V:,22.718575,1
9.49,19.22,0.91,0.77,K0V,20.908768,1
8.23,2.92,0.84,0.029,B8V,15.556913,1
5.8,6.97,0.85,1.376,K4III,15.016164,0
8.78,0.16,1.17,1.137,G3/G5III,9.8006,0
8.08,2.32,1.32,1.371,M4:IIIvar,14.90744,0
9.06,-0.54,1.25,1.06,K0III,12.72197,0
8.59,3.31,0.86,-0.075,B8/B9V,16.18914,1
8.49,3.32,0.74,1.143,K1III,16.09569,0
8.86,29.83,1.03,0.813,K1V,21.233265,1
7.88,19.05,1.04,0.584,G0V,19.279474,1
9.0,4.78,1.47,1.144,K0/K1III:,17.39714,0
8.75,4.64,1.12,1.103,K0III,17.08259,0
9.97,61.3,2.42,1.464,M0V,23.907303,1
4.64,0.28,0.87,0.576,F2Ib,6.87579,0
9.49,11.86,1.97,0.527,G3V,19.860424,1
7.88,31.88,0.98,0.716,G8V,20.39759,1
8.27,6.33,0.98,0.39,F0V,17.27702,1
8.7,1.82,0.71,1.03,G8III,15.000357,0
7.43,5.37,1.2,1.03,G8III,16.079872,0
10.0,4.65,1.31,0.56,F8V,18.337265,1
8.49,1.97,1.24,1.63,K5III,14.962331,0
4.85,2.21,0.76,1.491,K2II,11.571961,0
8.01,2.73,0.74,-0.009,B9II/III,15.190814,0
7.0,10.04,0.75,0.998,K0/K1III,17.008669,0
7.6,1.69,1.07,1.414,K4III,13.739433,0
9.07,5.55,1.26,0.481,F5V,17.791466,1
9.45,1.68,1.27,0.048,B9IV/V,15.576546,1
8.53,2.84,3.15,0.039,B9V,15.796592,1
5.53,8.16,0.55,-0.06,B9.5Vn,15.088451,1
7.71,8.07,1.04,0.358,F0III/IV,17.244368,1
6.8,2.22,0.87,-0.161,B2/B3II:,13.531765,0
9.63,6.93,1.43,0.495,F5V,18.833668,1
7.93,2.81,1.14,1.013,K0III,15.173531,0
8.69,1.4,1.12,1.022,K0III,14.42064,0
8.13,22.09,0.71,0.71,G5V,19.850979,1
9.05,1.59,1.08,0.038,B2V,15.056986,1
7.46,1.93,0.99,0.981,K0III,13.887787,0
7.14,6.65,0.64,0.922,K0III,16.254108,0
5.6,7.3,0.71,1.35,M6.2III,14.916615,0
8.76,4.19,0.86,1.101,G8III,16.87107,0
7.68,3.08,1.04,0.195,A2V,15.122753,1
6.37,45.38,0.63,0.626,G2V,19.654324,1
8.85,1.95,0.82,1.095,G8III,15.300174,0
6.34,9.23,0.57,1.234,K2/K3IIICN.,16.166008,0
8.76,13.78,1.28,0.802,G6IV,19.456247,1
6.38,20.01,0.88,0.306,F0V,17.886234,1
8.7,3.99,1.42,0.466,G8/K0III+..,16.704865,0
7.5,1.37,0.99,0.801,F8Ib:,13.183603,0
6.22,7.86,0.71,0.955,G9III,15.697113,0
9.02,1.15,1.31,0.163,A4III,14.323489,0
6.84,3.23,0.53,-0.104,B8IV,14.386013,1
7.54,10.37,0.88,0.469,K0:III+...,17.618893,0
7.26,4.05,0.82,1.189,K1/K2III,15.297276,0
8.61,0.97,0.88,0.927,G6III,13.543859,0
8.87,6.68,0.77,0.486,F5V,17.993881,1
5.8,8.54,0.67,1.33,K6III,15.45729,0
8.63,4.15,1.18,1.456,K3/K4III,16.720242,0
6.45,1.76,0.88,1.624,M0III,12.677564,0
6.65,59.04,0.87,0.749,G8V,20.505732,1
8.62,2.15,0.68,1.25,G8/K0II/III,15.282192,0
8.68,5.02,0.69,0.068,A0V,17.18352,1
9.17,3.96,1.0,0.993,G8IV/V,17.158476,1
6.35,6.9,0.95,1.081,K1III+...,15.544245,0
8.25,1.4,0.78,1.51,K3III,13.98064,0
9.12,2.32,0.88,0.064,B9IV,15.947439,1
6.78,7.32,0.66,0.991,K0III,16.102556,0
7.73,1.64,0.85,1.409,K3III,13.804219,0
8.58,4.25,1.19,1.037,G8III,16.721945,0
8.69,4.37,1.73,-0.01,B9V,16.892406,1
8.32,6.7,0.99,0.456,F5V,17.450375,1
7.96,2.98,0.73,1.569,K3/K4III,15.331081,0
9.27,2.49,1.1,0.063,A1V,16.250998,1
6.33,7.55,0.82,0.182,A6V,15.719735,1
7.2,1.94,0.56,1.643,M0III,13.6390085,0
7.57,4.15,0.89,0.983,K0III,15.66024,0
9.73,2.7,1.52,0.476,F5V,16.886818,1
8.94,3.93,1.46,1.472,G8III/IV,16.911963,1
9.48,1.79,0.93,1.142,M7IIIe,15.744265,0
8.56,7.19,2.71,0.521,F0/F2IV:,17.843645,1
7.98,0.59,1.11,1.477,K3III,11.83426,0
5.51,5.99,0.58,-0.06,B9Vn,14.397134,1
10.02,-3.43,3.4,0.05,B9III,17.69647,0
6.7,2.32,0.53,1.516,K4III,13.527439,0
8.13,3.79,1.45,0.897,G8IV,16.023197,1
8.39,12.97,1.06,0.602,G2/G3V,18.9547,1
7.61,6.26,4.99,0.235,A7V,16.592873,1
9.62,5.34,1.45,0.553,F6V,18.257706,1
7.66,4.9,0.87,0.324,F0III,16.110981,0
7.01,1.99,0.83,-0.031,B3III,13.504265,0
8.17,0.74,2.14,0.1,B8III/IV,12.516159,1
5.59,5.62,0.62,-0.13,A0V,14.338682,1
8.53,0.27,1.87,1.293,K2III,10.686819,0
6.53,5.97,0.91,0.155,A7III,15.409872,0
7.88,3.2,0.83,0.037,A0IV/V,15.40575,1
5.73,5.32,0.56,1.574,M4III,14.359558,0
8.28,21.26,0.75,0.66,G3V,19.917816,1
8.42,24.23,1.0,0.724,G8V,20.341766,1
8.77,5.39,1.57,1.122,K0III,17.427944,0
6.61,7.09,0.8,1.071,K1III,15.863232,0
8.02,1.59,0.63,1.6,K3III,14.026986,0
6.44,9.0,0.54,0.026,A1V,16.211212,1
8.26,3.78,1.14,0.457,F5III,16.147459,0
7.79,2.5,0.97,1.2,K2III,14.7797,0
4.89,22.68,0.72,0.125,A4IV,16.668215,1
7.0,5.53,0.89,1.003,G8III,15.713626,0
8.08,3.45,0.94,1.156,K2III,15.769095,0
8.6,-0.31,1.27,1.175,K0III,11.056808,0
8.22,13.9,0.92,0.647,G3V,18.935074,1
9.67,13.19,0.97,0.732,G8V,20.271225,1
6.92,2.33,1.03,1.724,M1III,13.75678,0
9.27,0.44,1.23,0.99,K1III,12.487264,0
8.3,23.44,1.84,0.71,G5V,20.149788,1
5.91,6.76,0.52,1.102,K1III,15.059733,0
7.34,5.85,0.68,1.259,K1III,16.17578,0
8.71,6.08,0.84,0.179,A1IV/V,17.629517,1
8.02,2.79,0.86,3.44,C6II,15.248022,0
6.49,2.62,1.03,-0.089,B5Vp,13.581507,1
7.63,3.75,1.04,1.2,K0III,15.500156,0
7.65,21.41,1.1,0.629,G0III,19.303083,0
8.17,4.05,0.86,-0.063,B9III/IV,16.207275,1
7.47,1.65,1.01,1.415,K1II,13.55742,0
8.92,13.21,1.29,0.795,G8IV,19.524513,1
7.72,2.82,1.0,1.169,K0III,14.971245,0
9.4,8.62,1.09,0.473,F5V,19.077536,1
8.94,13.5,0.99,0.681,G5V,19.59167,1
5.76,33.23,1.33,0.415,F3V,18.367653,1
8.21,3.47,1.12,1.033,G8/K0III,15.911648,0
7.27,7.13,0.97,1.075,K1III,16.535448,0
9.07,0.65,1.23,1.079,G8/K0III,13.134566,0
7.87,7.71,0.61,0.134,A1V,17.305271,1
9.48,-2.05,1.29,0.177,B9III,16.038769,0
8.01,3.16,0.6,0.095,A1IV/V,15.508436,1
5.16,37.8,0.61,0.349,F1V,18.047459,1
5.78,28.62,0.48,0.428,F1V,18.063349,1
8.67,0.25,1.25,0.113,B9III,10.6597,0
4.48,18.32,0.89,0.996,K0III,15.794628,0
5.91,11.45,0.61,0.048,A0V(n),16.204027,1
6.85,3.17,0.94,1.526,K3III,14.355297,0
8.62,1.14,0.96,0.958,G3/G5III,13.904524,0
9.7,9.46,1.63,0.696,G3/G5IV/V,19.579456,1
8.73,0.5,1.26,1.341,K2IV/V,12.22485,1
8.39,3.47,1.17,1.42,K2III,16.091648,0
9.29,7.6,1.45,0.799,G8V,18.694069,1
8.18,15.2,0.76,0.629,G2V,19.089218,1
10.66,4.46,2.23,1.12,K1III,18.906673,0
7.2,14.38,0.86,0.411,F3V,17.988792,1
6.97,29.33,0.69,0.584,G3V,19.30656,1
6.71,3.62,0.85,1.488,K3III,14.503543,0
8.55,3.47,0.75,1.017,G8III/IV,16.251648,1
6.05,2.38,0.66,0.05,A0/A1III,12.932885,0
6.59,0.27,0.92,1.07,G1Ib,8.746819,0
7.2,2.0,1.18,0.393,O8V:,13.705151,1
7.1,9.89,0.78,0.021,A0V,17.075981,1
3.49,7.74,0.79,1.4,K3III SB,12.933704,0
5.82,10.81,0.94,0.939,K0III,15.98913,0
10.34,3.05,3.42,0.335,A9V,17.7615,1
10.12,13.1,1.49,0.762,K0V,20.706356,1
9.44,24.11,1.23,0.955,K3V,21.350986,1
6.25,9.13,0.59,1.0,K1IIICN...,16.052353,0
6.91,7.97,6.16,1.536,M4III:,16.417292,0
9.8,3.9,1.62,0.525,F5/F6V,17.755323,1
7.26,41.69,1.24,0.836,K0V,20.360159,1
5.86,6.96,0.54,1.349,K3III,15.073046,0
8.55,4.12,0.84,0.037,A1V,16.624485,1
7.71,3.56,0.69,1.272,K3III,15.46725,0
8.37,3.42,1.02,1.06,K0III,16.04013,0
7.67,1.13,0.99,0.891,G6II/III+..,12.935392,0
8.22,0.12,1.15,1.922,M1/M2III,8.615907,0
9.4,5.37,1.26,1.187,K2III,18.049871,0
5.34,11.71,0.73,0.883,G8III,15.682784,0
4.68,8.68,0.53,-0.115,B5V,14.372599,1
8.58,9.51,1.1,0.463,F3V,18.470901,1
8.81,7.18,1.26,0.649,F8/G0V,18.090622,1
8.89,4.06,1.05,0.985,G8III,16.93263,0
8.59,7.47,0.75,0.509,F6V,17.956604,1
7.13,28.78,0.96,0.599,G2V,19.425453,1
7.81,19.04,0.97,0.493,F6V,19.208334,1
8.47,2.72,0.93,1.083,K0III,15.642845,0
6.99,4.33,0.78,1.428,K4III,15.17244,0
8.53,18.67,0.72,0.755,G5/G6IV/V,19.885723,1
8.3,3.85,0.96,0.997,G8/K0III,16.227303,0
8.35,-0.81,1.12,0.136,B9II/III,12.892426,0
8.79,-0.24,1.29,1.504,M2III,10.691056,0
9.7,1.65,1.33,0.156,A2/A3III/IV,15.78742,1
8.78,30.02,1.68,0.943,K3V,21.167053,1
8.66,0.84,1.31,0.471,F3IV/V,13.281397,1
7.63,4.26,0.89,1.325,K3III,15.777048,0
6.92,5.09,0.82,-0.084,B9II,15.4535885,0
9.41,5.54,1.58,0.496,F3V,18.127548,1
7.67,4.02,0.91,0.95,G8/K0III,15.691131,0
9.31,4.11,1.32,0.959,G6/G8IV,17.37921,1
8.9,-0.15,1.23,1.258,K0III,9.780456,0
8.48,6.31,1.04,0.376,F0V,17.480146,1
8.86,-0.2,1.16,0.109,B8V,10.3651495,1
6.94,7.98,0.84,1.043,K0III,16.450014,0
8.16,9.67,1.07,0.926,K0III,18.087132,0
8.35,5.25,1.13,0.626,F5V,16.950798,1
8.2,5.02,1.02,1.183,K2IIICNII,16.703518,0
5.55,4.18,0.86,1.011,K1IIIpe+...,13.655881,0
11.18,3.24,2.04,0.117,A0Ia:,18.732725,0
4.76,2.26,0.58,0.151,A7III,11.530542,0
9.02,3.11,0.76,1.23,K0III,16.483803,0
8.12,2.15,0.9,1.639,K3/K4III,14.782192,0
7.35,-0.41,1.16,-0.164,B2III,10.413919,0
7.57,2.93,0.96,1.308,K2III,14.904339,0
6.93,2.64,0.62,-0.06,B3V,14.038019,1
7.5,4.23,1.01,0.93,K0III,15.631702,0
8.76,2.98,1.09,1.09,K0III,16.13108,0
8.32,12.21,0.95,0.521,F6/F7V,18.753578,1
4.55,17.43,0.53,1.365,K4III,15.756486,0
7.31,3.31,0.68,-0.002,B9IV/V,14.90914,1
8.3,3.82,1.25,1.661,K2/K3III,16.210318,0
9.1,6.58,1.31,0.554,F8Vw,18.19113,1
9.46,5.88,0.92,0.671,G3IV/V,18.306887,1
9.03,7.17,1.39,0.63,G5V,18.307594,1
8.37,14.09,0.91,0.574,F8/G0V,19.114555,1
9.22,0.56,1.2,0.079,A0V,12.96094,1
7.21,4.62,0.97,2.02,K5III,15.53321,0
8.34,0.06,0.96,0.016,B7Ib/II,7.2307568,0
3.89,24.49,0.72,1.088,K1III-IV,15.834944,1
7.25,6.54,1.01,0.121,A0V,16.327888,1
8.26,3.84,1.15,1.16,K1III,16.181656,0
7.03,11.15,0.54,0.193,A3V,17.266375,1
8.94,3.53,1.23,1.254,K1III,16.678873,0
5.35,2.68,0.8,0.094,B3V,12.490674,1
8.57,1.58,0.8,1.127,K2III+...,14.563285,0
6.4,6.09,0.75,1.266,K2/K3III,15.323086,0
8.88,2.72,0.9,1.41,K2/K3III,16.052845,0
5.98,14.63,0.62,1.239,K3III,16.806221,0
8.07,23.08,1.22,0.68,G5V,19.886179,1
6.97,7.4,0.69,0.05,A2V,16.316158,1
9.59,4.49,1.04,0.57,F8V,17.85123,1
8.57,3.4,0.77,1.019,K1III,16.227394,0
6.55,23.48,0.84,0.381,F2V,18.40349,1
8.06,10.47,1.06,0.448,F3V,18.159733,1
7.18,3.09,0.65,1.52,K4III,14.629793,0
8.03,1.12,0.86,1.412,K3III,13.276091,0
7.71,2.41,1.03,0.944,F8IV,14.620085,1
5.15,32.86,0.92,0.315,F0V + G/K,17.733337,1
9.3,5.34,1.44,0.828,G8/K0IV:,17.937706,1
8.78,0.29,1.26,1.16,K1III,11.0919895,0
8.57,3.38,1.02,0.126,A1/A2V,16.214584,1
7.76,2.6,0.57,0.037,B9V,14.834867,1
6.47,7.13,0.8,0.029,A1V,15.735447,1
6.07,13.6,0.66,0.19,A6IV,16.737696,1
7.67,4.63,0.85,0.127,B8IV,15.997905,1
7.78,3.01,0.68,0.06,B5V,15.1728325,1
7.33,9.62,0.83,0.117,A2V,17.245876,1
9.36,8.05,0.84,0.955,K0IV:,18.888979,1
7.66,5.76,0.99,0.168,A0V,16.462112,1
7.88,2.89,0.91,-0.106,B8III,15.18449,0
7.16,1.54,0.56,-0.109,B5V,13.097604,1
9.21,2.28,1.38,0.731,G2IV/V,15.999674,1
7.46,10.83,0.82,0.409,F5II,17.63314,0
5.92,6.43,1.06,0.02,A0V,14.961055,1
5.1,8.56,0.8,1.143,K2II-IIIvar,14.762369,0
7.84,1.21,0.93,1.523,M0III,13.253927,0
8.49,2.09,1.03,1.474,K3/K4III,15.090732,0
9.81,2.11,1.63,1.105,G8IV/V,16.431412,1
7.41,2.69,2.48,0.003,B5II/III,14.558762,0
8.65,1.66,1.1,0.4,B8Vnn(e),14.75054,1
8.2,3.03,1.14,0.029,B9V,15.607213,1
9.71,7.18,0.91,0.582,G2IV/V,18.990623,1
4.81,8.95,0.74,1.556,K5III,14.569115,0
6.89,4.68,0.9,1.111,G8III,15.24123,0
8.55,2.13,1.75,0.98,G8III,15.191898,0
7.47,0.58,0.98,1.044,G8III,11.28714,0
7.41,2.11,0.97,1.492,B5V+...,14.031412,1
8.07,-0.04,1.4,1.681,M2III,6.0802994,0
9.27,1.03,0.88,0.829,G3III,14.334187,0
8.62,7.19,3.07,0.402,F2V,17.903645,1
8.8,-0.68,0.94,1.144,K0III/IV,12.962545,1
6.01,13.94,0.87,0.196,A7IV/V,16.731314,1
8.74,3.99,1.22,1.439,K3/K4III,16.744865,0
7.02,2.18,0.73,1.499,K5III,13.712282,0
7.69,15.26,1.5,0.586,F5V,18.607773,1
8.49,4.02,1.1,1.08,G8/K0III+..,16.511131,0
8.04,1.9,0.95,-0.089,B6III,14.433768,0
8.23,30.58,2.09,0.853,K0V,20.657187,1
8.75,1.64,1.29,0.149,A0V,14.824219,1
7.02,10.08,0.96,1.111,K1III,17.037302,0
8.42,9.23,0.7,0.455,F5V,18.246008,1
10.03,11.98,1.49,0.636,G3V,20.422283,1
8.5,4.08,0.74,0.711,G3V,16.5533,1
9.1,12.26,0.85,0.644,G2V,19.542454,1
6.65,8.15,0.83,-0.069,B8/B9V,16.205788,1
6.27,7.73,0.72,1.112,K1III,15.710897,0
7.78,4.14,0.89,1.047,K0III,15.865002,0
7.99,10.9,1.33,0.318,A9V,18.177132,1
7.0,3.86,0.59,-0.088,B5Vne,14.932937,1
6.91,3.93,1.04,1.555,M4III:,14.881963,0
8.25,3.77,1.12,1.15,K2III,16.131706,0
8.76,2.13,0.97,0.962,G6III,15.401898,0
7.23,2.14,0.61,1.72,K5III,13.882069,0
8.86,3.36,1.13,0.146,A1V,16.491695,1
9.08,7.48,1.28,0.418,F3V,18.449509,1
8.07,4.39,0.72,1.101,K0III,16.282322,0
7.76,25.31,1.15,0.662,G2V,19.77646,1
7.29,20.2,1.01,0.803,K0III,18.816757,0
7.86,3.33,0.95,0.053,B9.5V,15.472221,1
5.66,12.18,1.01,0.823,G5III/IV,16.088238,1
